Timestamp,Humidity,Temperature
20240722005331,57.90,18.50
20240722005341,57.60,18.50
20240722005351,57.50,18.60
20240722005401,58.20,18.70
20240722005411,57.60,18.70
20240722005421,57.40,18.70
20240722005431,57.50,18.80
20240722005441,57.30,18.80
20240722005451,57.40,18.80
20240722005501,57.60,18.80
20240722005511,57.30,18.80
20240722005521,57.30,18.70
20240722005531,57.30,18.70
20240722005541,57.60,18.60
20240722005551,57.50,18.60
20240722005601,57.40,18.50
20240722005611,57.30,18.50
20240722005622,57.70,18.40
20240722005632,57.90,18.40
20240722005642,58.20,18.40
20240722005652,57.90,18.30
20240722005702,58.00,18.30
20240722005712,58.50,18.30
20240722005722,58.00,18.30
20240722005732,58.00,18.20
20240722005742,58.20,18.20
20240722005752,58.20,18.20
20240722005802,58.30,18.10
20240722005812,58.70,18.10
20240722005822,58.30,18.10
20240722005832,58.10,18.00
20240722005842,58.30,18.00
20240722005852,58.30,18.00
20240722005902,58.50,18.00
20240722005912,58.60,17.90
20240722005922,58.80,17.80
20240722005932,58.60,17.80
20240722005942,58.60,17.80
20240722005952,58.70,17.80
20240722010002,58.70,17.80
20240722010012,58.80,17.80
20240722010022,59.00,17.70
20240722010032,58.90,17.70
20240722010042,59.00,17.60
20240722010052,59.10,17.60
20240722010102,58.90,17.60
20240722010112,58.90,17.60
20240722010122,58.80,17.60
20240722010132,59.00,17.50
20240722010142,59.10,17.50
20240722010152,59.50,17.40
20240722010202,59.70,17.40
20240722010212,59.70,17.40
20240722010222,59.60,17.40
20240722010232,59.60,17.40
20240722010242,59.90,17.40
20240722010252,59.70,17.40
20240722010302,59.60,17.50
20240722010312,59.60,17.50
20240722010322,59.30,17.50
20240722010332,59.30,17.50
20240722010342,59.40,17.50
20240722010352,59.40,17.50
20240722010402,59.40,17.50
20240722010412,59.30,17.50
20240722010422,59.40,17.40
20240722010432,59.40,17.40
20240722010442,59.30,17.40
20240722010452,59.20,17.40
20240722010502,59.30,17.40
20240722010512,59.50,17.30
20240722010522,59.50,17.30
20240722010532,59.60,17.30
20240722010542,59.60,17.20
20240722010552,59.50,17.20
20240722010602,59.50,17.20
20240722010612,59.50,17.20
20240722010622,59.50,17.20
20240722010632,59.80,17.10
20240722010642,59.90,17.10
20240722010652,60.10,17.10
20240722010702,60.00,17.10
20240722010712,59.90,17.20
20240722010722,59.90,17.20
20240722010732,59.70,17.20
20240722010742,59.60,17.20
20240722010752,59.60,17.20
20240722010802,59.60,17.20
20240722010812,59.70,17.20
20240722010822,59.80,17.10
20240722010832,59.80,17.00
20240722010842,59.80,17.00
20240722010852,59.90,17.00
20240722010902,60.00,17.00
20240722010912,60.10,17.00
20240722010922,60.10,17.00
20240722010932,60.10,16.90
20240722010942,60.00,16.90
20240722010952,60.10,16.90
20240722011002,60.10,16.90
20240722011012,60.20,16.90
20240722011022,60.20,16.90
20240722011032,60.20,16.90
20240722011042,60.30,16.90
20240722011052,60.20,17.00
20240722011102,60.30,17.00
20240722011112,60.30,17.00
20240722011122,60.20,16.90
20240722011132,60.30,17.00
20240722011142,60.20,16.90
20240722011152,60.20,16.90
20240722011202,60.30,16.90
20240722011212,60.40,16.90
20240722011222,60.30,16.90
20240722011232,60.20,16.90
20240722011242,60.20,17.00
20240722011252,60.20,16.90
20240722011302,60.20,16.90
20240722011312,60.20,16.90
20240722011322,60.10,16.90
20240722011332,60.20,16.90
20240722011342,60.10,16.90
20240722011352,60.10,16.90
20240722011402,60.10,16.90
20240722011412,60.10,16.90
20240722011422,60.30,16.90
20240722011432,60.50,16.90
20240722011442,60.40,16.80
20240722011452,60.50,16.80
20240722011502,60.40,16.90
20240722011512,60.30,16.90
20240722011522,60.40,16.90
20240722011532,60.40,16.90
20240722011542,60.40,16.90
20240722011552,60.50,16.90
20240722011602,60.50,16.90
20240722011612,60.50,16.90
20240722011622,60.30,16.90
20240722011632,60.30,16.90
20240722011642,60.20,17.00
20240722011652,60.40,17.00
20240722011702,60.20,17.00
20240722011712,60.10,17.00
20240722011722,60.10,16.90
20240722011732,60.20,16.90
20240722011742,60.30,16.90
20240722011752,60.20,16.90
20240722011802,60.40,16.90
20240722011812,60.40,16.80
20240722011822,60.40,16.80
20240722011832,60.40,16.80
20240722011842,60.30,16.80
20240722011852,60.50,16.80
20240722011902,60.70,16.80
20240722011912,60.60,16.80
20240722011922,60.50,16.80
20240722011932,60.50,16.80
20240722011943,60.70,16.80
20240722011953,60.70,16.80
20240722012003,60.60,16.80
20240722012013,60.50,16.80
20240722012023,60.50,16.80
20240722012033,60.40,16.80
20240722012043,60.40,16.80
20240722012053,60.50,16.80
20240722012103,60.60,16.80
20240722012113,60.50,16.80
20240722012123,60.50,16.80
20240722012133,60.70,16.80
20240722012143,60.60,16.80
20240722012153,60.40,16.80
20240722012203,60.50,16.90
20240722012213,60.40,16.90
20240722012223,60.40,16.80
20240722012233,60.30,16.90
20240722012243,60.40,16.80
20240722012253,60.40,16.80
20240722012303,60.40,16.80
20240722012313,60.40,16.80
20240722012323,60.40,16.80
20240722012333,60.50,16.80
20240722012343,60.70,16.80
20240722012353,60.40,16.80
20240722012403,60.40,16.80
20240722012413,60.40,16.80
20240722012423,60.40,16.80
20240722012433,60.60,16.80
20240722012443,60.50,16.80
20240722012453,60.50,16.80
20240722012503,60.50,16.80
20240722012513,60.40,16.80
20240722012523,60.40,16.80
20240722012533,60.50,16.80
20240722012543,60.30,16.80
20240722012553,60.50,16.80
20240722012603,60.50,16.80
20240722012613,60.40,16.70
20240722012623,60.50,16.70
20240722012633,60.70,16.70
20240722012643,60.60,16.70
20240722012653,60.50,16.70
20240722012703,60.60,16.70
20240722012713,60.70,16.70
20240722012723,60.70,16.70
20240722012733,60.70,16.60
20240722012743,60.80,16.60
20240722012753,61.00,16.60
20240722012803,61.10,16.60
20240722012813,61.10,16.60
20240722012823,60.80,16.70
20240722012833,60.70,16.70
20240722012843,60.90,16.70
20240722012853,60.90,16.70
20240722012903,60.70,16.80
20240722012913,60.80,16.80
20240722012923,60.70,16.80
20240722012933,60.70,16.80
20240722012943,60.60,16.90
20240722012953,60.50,16.90
20240722013003,60.50,16.90
20240722013013,60.60,16.90
20240722013023,60.50,16.90
20240722013033,60.40,16.90
20240722013043,60.30,16.90
20240722013053,60.40,16.90
20240722013103,60.40,16.90
20240722013113,60.60,16.90
20240722013123,60.50,16.90
20240722013133,60.30,16.90
20240722013143,60.20,17.00
20240722013153,60.40,16.90
20240722013203,60.40,16.90
20240722013213,60.50,17.00
20240722013223,60.40,17.00
20240722013233,60.20,17.00
20240722013243,60.10,17.00
20240722013253,60.30,17.00
20240722013303,60.20,17.00
20240722013313,60.40,17.00
20240722013323,60.20,17.00
20240722013333,60.20,17.00
20240722013343,60.10,17.00
20240722013353,60.10,16.90
20240722013403,60.20,16.90
20240722013413,60.20,16.90
20240722013423,60.50,16.90
20240722013433,60.40,16.90
20240722013443,60.30,16.80
20240722013453,60.30,16.80
20240722013503,60.40,16.80
20240722013513,60.50,16.80
20240722013523,60.50,16.80
20240722013533,60.70,16.80
20240722013543,60.60,16.80
20240722013553,60.70,16.80
20240722013603,60.70,16.80
20240722013613,60.40,16.80
20240722013623,60.50,16.80
20240722013633,60.60,16.80
20240722013643,60.50,16.80
20240722013653,60.50,16.80
20240722013703,60.50,16.80
20240722013713,60.60,16.80
20240722013723,60.70,16.80
20240722013733,60.80,16.80
20240722013743,60.70,16.80
20240722013753,60.70,16.80
20240722013803,60.60,16.80
20240722013813,60.60,16.80
20240722013823,60.50,16.80
20240722013833,60.70,16.80
20240722013843,60.80,16.80
20240722013853,60.90,16.80
20240722013903,60.90,16.80
20240722013913,60.80,16.80
20240722013923,61.10,16.80
20240722013933,61.00,16.80
20240722013943,60.70,16.80
20240722013953,60.60,16.90
20240722014003,60.60,16.90
20240722014013,60.70,16.90
20240722014023,60.60,16.90
20240722014033,60.70,17.00
20240722014043,60.70,17.00
20240722014053,60.50,17.00
20240722014103,60.40,17.00
20240722014113,60.30,17.00
20240722014123,60.20,17.00
20240722014133,60.20,17.00
20240722014143,60.40,17.00
20240722014153,60.40,17.00
20240722014203,60.50,17.00
20240722014213,60.30,17.00
20240722014223,60.40,17.00
20240722014234,60.40,17.00
20240722014244,60.30,17.00
20240722014254,60.20,17.00
20240722014304,60.40,17.00
20240722014314,60.40,17.00
20240722014324,60.60,17.00
20240722014334,60.50,16.90
20240722014344,60.70,16.90
20240722014354,60.70,16.90
20240722014404,60.80,16.80
20240722014414,61.00,16.80
20240722014424,61.00,16.80
20240722014434,61.00,16.80
20240722014444,61.00,16.80
20240722014454,61.00,16.80
20240722014504,61.20,16.80
20240722014514,61.00,16.80
20240722014524,61.00,16.80
20240722014534,61.00,16.80
20240722014544,61.00,16.80
20240722014554,61.10,16.80
20240722014604,61.00,16.80
20240722014614,61.20,16.80
20240722014624,61.10,16.80
20240722014634,61.10,16.80
20240722014644,61.10,16.80
20240722014654,61.20,16.80
20240722014704,61.00,16.80
20240722014714,60.90,16.80
20240722014724,61.00,16.80
20240722014734,61.00,16.70
20240722014744,61.10,16.70
20240722014754,61.20,16.70
20240722014804,61.30,16.70
20240722014814,61.30,16.60
20240722014824,61.40,16.60
20240722014834,61.40,16.60
20240722014844,61.40,16.60
20240722014854,61.40,16.60
20240722014904,61.50,16.60
20240722014914,61.60,16.60
20240722014924,61.40,16.70
20240722014934,61.30,16.70
20240722014944,61.20,16.70
20240722014954,61.20,16.70
20240722015004,61.10,16.60
20240722015014,61.20,16.60
20240722015024,61.20,16.50
20240722015034,61.40,16.50
20240722015044,61.50,16.50
20240722015054,61.60,16.50
20240722015104,61.70,16.50
20240722015114,61.70,16.50
20240722015124,61.60,16.50
20240722015134,61.70,16.50
20240722015144,61.60,16.50
20240722015154,61.60,16.50
20240722015204,61.70,16.50
20240722015214,61.80,16.50
20240722015224,61.90,16.50
20240722015234,61.70,16.50
20240722015244,61.70,16.40
20240722015254,61.70,16.40
20240722015304,61.80,16.40
20240722015314,61.90,16.40
20240722015324,62.10,16.40
20240722015334,61.90,16.40
20240722015344,62.10,16.40
20240722015354,61.90,16.40
20240722015404,61.80,16.40
20240722015414,61.80,16.40
20240722015424,61.80,16.40
20240722015434,61.90,16.40
20240722015444,61.80,16.40
